,Cell0,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99
TF1,17.0,43.0,51.0,96.0,88.0,10.0,51.0,46.0,37.0,56.0,8.0,79.0,75.0,51.0,0.0,71.0,44.0,45.0,70.0,56.0,23.0,35.0,48.0,65.0,45.0,78.0,14.0,65.0,36.0,83.0,9.0,1.0,69.0,83.0,83.0,30.0,14.0,40.0,39.0,36.0,48.0,73.0,12.0,52.0,72.0,77.0,15.0,46.0,44.0,44.0,72.0,10.0,71.0,14.0,6.0,27.0,4.0,29.0,69.0,25.0,35.0,16.0,65.0,43.0,82.0,63.0,21.0,36.0,2.0,70.0,4.0,23.0,52.0,29.0,93.0,79.0,89.0,2.0,48.0,27.0,19.0,16.0,76.0,66.0,18.0,50.0,88.0,2.0,27.0,91.0,40.0,80.0,85.0,88.0,24.0,75.0,15.0,81.0,67.0,86.0
Gene1,23.627282545919442,49.62728254591944,57.62728254591944,102.62728254591944,94.62728254591944,16.627282545919442,57.62728254591944,52.62728254591944,43.62728254591944,62.62728254591944,14.627282545919442,85.62728254591944,81.62728254591944,57.62728254591944,6.627282545919443,77.62728254591944,50.62728254591944,51.62728254591944,76.62728254591944,62.62728254591944,29.627282545919442,41.62728254591944,54.62728254591944,71.62728254591944,51.62728254591944,84.62728254591944,20.627282545919442,71.62728254591944,42.62728254591944,89.62728254591944,15.627282545919442,7.627282545919443,75.62728254591944,89.62728254591944,89.62728254591944,36.62728254591944,20.627282545919442,46.62728254591944,45.62728254591944,42.62728254591944,54.62728254591944,79.62728254591944,18.627282545919442,58.62728254591944,78.62728254591944,83.62728254591944,21.627282545919442,52.62728254591944,50.62728254591944,50.62728254591944,78.62728254591944,16.627282545919442,77.62728254591944,20.627282545919442,12.627282545919442,33.62728254591944,10.627282545919442,35.62728254591944,75.62728254591944,31.627282545919442,41.62728254591944,22.627282545919442,71.62728254591944,49.62728254591944,88.62728254591944,69.62728254591944,27.627282545919442,42.62728254591944,8.627282545919442,76.62728254591944,10.627282545919442,29.627282545919442,58.62728254591944,35.62728254591944,99.62728254591944,85.62728254591944,95.62728254591944,8.627282545919442,54.62728254591944,33.62728254591944,25.627282545919442,22.627282545919442,82.62728254591944,72.62728254591944,24.627282545919442,56.62728254591944,94.62728254591944,8.627282545919442,33.62728254591944,97.62728254591944,46.62728254591944,86.62728254591944,91.62728254591944,94.62728254591944,30.627282545919442,81.62728254591944,21.627282545919442,87.62728254591944,73.62728254591944,92.62728254591944
Gene2,24.34611269524334,50.34611269524334,58.34611269524334,103.34611269524335,95.34611269524335,17.34611269524334,58.34611269524334,53.34611269524334,44.34611269524334,63.34611269524334,15.346112695243344,86.34611269524335,82.34611269524335,58.34611269524334,7.3461126952433435,78.34611269524335,51.34611269524334,52.34611269524334,77.34611269524335,63.34611269524334,30.34611269524334,42.34611269524334,55.34611269524334,72.34611269524335,52.34611269524334,85.34611269524335,21.34611269524334,72.34611269524335,43.34611269524334,90.34611269524335,16.34611269524334,8.346112695243344,76.34611269524335,90.34611269524335,90.34611269524335,37.34611269524334,21.34611269524334,47.34611269524334,46.34611269524334,43.34611269524334,55.34611269524334,80.34611269524335,19.34611269524334,59.34611269524334,79.34611269524335,84.34611269524335,22.34611269524334,53.34611269524334,51.34611269524334,51.34611269524334,79.34611269524335,17.34611269524334,78.34611269524335,21.34611269524334,13.346112695243344,34.34611269524334,11.346112695243344,36.34611269524334,76.34611269524335,32.34611269524334,42.34611269524334,23.34611269524334,72.34611269524335,50.34611269524334,89.34611269524335,70.34611269524335,28.34611269524334,43.34611269524334,9.346112695243344,77.34611269524335,11.346112695243344,30.34611269524334,59.34611269524334,36.34611269524334,100.34611269524335,86.34611269524335,96.34611269524335,9.346112695243344,55.34611269524334,34.34611269524334,26.34611269524334,23.34611269524334,83.34611269524335,73.34611269524335,25.34611269524334,57.34611269524334,95.34611269524335,9.346112695243344,34.34611269524334,98.34611269524335,47.34611269524334,87.34611269524335,92.34611269524335,95.34611269524335,31.34611269524334,82.34611269524335,22.34611269524334,88.34611269524335,74.34611269524335,93.34611269524335
Gene3,22.507691872815286,48.507691872815286,56.507691872815286,101.50769187281529,93.50769187281529,15.507691872815286,56.507691872815286,51.507691872815286,42.507691872815286,61.507691872815286,13.507691872815286,84.50769187281529,80.50769187281529,56.507691872815286,5.507691872815286,76.50769187281529,49.507691872815286,50.507691872815286,75.50769187281529,61.507691872815286,28.507691872815286,40.507691872815286,53.507691872815286,70.50769187281529,50.507691872815286,83.50769187281529,19.507691872815286,70.50769187281529,41.507691872815286,88.50769187281529,14.507691872815286,6.507691872815286,74.50769187281529,88.50769187281529,88.50769187281529,35.507691872815286,19.507691872815286,45.507691872815286,44.507691872815286,41.507691872815286,53.507691872815286,78.50769187281529,17.507691872815286,57.507691872815286,77.50769187281529,82.50769187281529,20.507691872815286,51.507691872815286,49.507691872815286,49.507691872815286,77.50769187281529,15.507691872815286,76.50769187281529,19.507691872815286,11.507691872815286,32.507691872815286,9.507691872815286,34.507691872815286,74.50769187281529,30.507691872815286,40.507691872815286,21.507691872815286,70.50769187281529,48.507691872815286,87.50769187281529,68.50769187281529,26.507691872815286,41.507691872815286,7.507691872815286,75.50769187281529,9.507691872815286,28.507691872815286,57.507691872815286,34.507691872815286,98.50769187281529,84.50769187281529,94.50769187281529,7.507691872815286,53.507691872815286,32.507691872815286,24.507691872815286,21.507691872815286,81.50769187281529,71.50769187281529,23.507691872815286,55.507691872815286,93.50769187281529,7.507691872815286,32.507691872815286,96.50769187281529,45.507691872815286,85.50769187281529,90.50769187281529,93.50769187281529,29.507691872815286,80.50769187281529,20.507691872815286,86.50769187281529,72.50769187281529,91.50769187281529
Gene4,21.6751593015949,47.6751593015949,55.6751593015949,100.6751593015949,92.6751593015949,14.6751593015949,55.6751593015949,50.6751593015949,41.6751593015949,60.6751593015949,12.6751593015949,83.6751593015949,79.6751593015949,55.6751593015949,4.6751593015949,75.6751593015949,48.6751593015949,49.6751593015949,74.6751593015949,60.6751593015949,27.6751593015949,39.6751593015949,52.6751593015949,69.6751593015949,49.6751593015949,82.6751593015949,18.6751593015949,69.6751593015949,40.6751593015949,87.6751593015949,13.6751593015949,5.6751593015949,73.6751593015949,87.6751593015949,87.6751593015949,34.6751593015949,18.6751593015949,44.6751593015949,43.6751593015949,40.6751593015949,52.6751593015949,77.6751593015949,16.6751593015949,56.6751593015949,76.6751593015949,81.6751593015949,19.6751593015949,50.6751593015949,48.6751593015949,48.6751593015949,76.6751593015949,14.6751593015949,75.6751593015949,18.6751593015949,10.6751593015949,31.6751593015949,8.6751593015949,33.6751593015949,73.6751593015949,29.6751593015949,39.6751593015949,20.6751593015949,69.6751593015949,47.6751593015949,86.6751593015949,67.6751593015949,25.6751593015949,40.6751593015949,6.6751593015949,74.6751593015949,8.6751593015949,27.6751593015949,56.6751593015949,33.6751593015949,97.6751593015949,83.6751593015949,93.6751593015949,6.6751593015949,52.6751593015949,31.6751593015949,23.6751593015949,20.6751593015949,80.6751593015949,70.6751593015949,22.6751593015949,54.6751593015949,92.6751593015949,6.6751593015949,31.6751593015949,95.6751593015949,44.6751593015949,84.6751593015949,89.6751593015949,92.6751593015949,28.6751593015949,79.6751593015949,19.6751593015949,85.6751593015949,71.6751593015949,90.6751593015949
Gene5,24.95059653484687,50.95059653484687,58.95059653484687,103.95059653484687,95.95059653484687,17.95059653484687,58.95059653484687,53.95059653484687,44.95059653484687,63.95059653484687,15.95059653484687,86.95059653484687,82.95059653484687,58.95059653484687,7.950596534846871,78.95059653484687,51.95059653484687,52.95059653484687,77.95059653484687,63.95059653484687,30.95059653484687,42.95059653484687,55.95059653484687,72.95059653484687,52.95059653484687,85.95059653484687,21.95059653484687,72.95059653484687,43.95059653484687,90.95059653484687,16.95059653484687,8.95059653484687,76.95059653484687,90.95059653484687,90.95059653484687,37.95059653484687,21.95059653484687,47.95059653484687,46.95059653484687,43.95059653484687,55.95059653484687,80.95059653484687,19.95059653484687,59.95059653484687,79.95059653484687,84.95059653484687,22.95059653484687,53.95059653484687,51.95059653484687,51.95059653484687,79.95059653484687,17.95059653484687,78.95059653484687,21.95059653484687,13.95059653484687,34.95059653484687,11.95059653484687,36.95059653484687,76.95059653484687,32.95059653484687,42.95059653484687,23.95059653484687,72.95059653484687,50.95059653484687,89.95059653484687,70.95059653484687,28.95059653484687,43.95059653484687,9.95059653484687,77.95059653484687,11.95059653484687,30.95059653484687,59.95059653484687,36.95059653484687,100.95059653484687,86.95059653484687,96.95059653484687,9.95059653484687,55.95059653484687,34.95059653484687,26.95059653484687,23.95059653484687,83.95059653484687,73.95059653484687,25.95059653484687,57.95059653484687,95.95059653484687,9.95059653484687,34.95059653484687,98.95059653484687,47.95059653484687,87.95059653484687,92.95059653484687,95.95059653484687,31.95059653484687,82.95059653484687,22.95059653484687,88.95059653484687,74.95059653484687,93.95059653484687
Gene6,24.975392796153145,50.975392796153145,58.975392796153145,103.97539279615314,95.97539279615314,17.975392796153145,58.975392796153145,53.975392796153145,44.975392796153145,63.975392796153145,15.975392796153146,86.97539279615314,82.97539279615314,58.975392796153145,7.975392796153146,78.97539279615314,51.975392796153145,52.975392796153145,77.97539279615314,63.975392796153145,30.975392796153145,42.975392796153145,55.975392796153145,72.97539279615314,52.975392796153145,85.97539279615314,21.975392796153145,72.97539279615314,43.975392796153145,90.97539279615314,16.975392796153145,8.975392796153146,76.97539279615314,90.97539279615314,90.97539279615314,37.975392796153145,21.975392796153145,47.975392796153145,46.975392796153145,43.975392796153145,55.975392796153145,80.97539279615314,19.975392796153145,59.975392796153145,79.97539279615314,84.97539279615314,22.975392796153145,53.975392796153145,51.975392796153145,51.975392796153145,79.97539279615314,17.975392796153145,78.97539279615314,21.975392796153145,13.975392796153146,34.975392796153145,11.975392796153146,36.975392796153145,76.97539279615314,32.975392796153145,42.975392796153145,23.975392796153145,72.97539279615314,50.975392796153145,89.97539279615314,70.97539279615314,28.975392796153145,43.975392796153145,9.975392796153146,77.97539279615314,11.975392796153146,30.975392796153145,59.975392796153145,36.975392796153145,100.97539279615314,86.97539279615314,96.97539279615314,9.975392796153146,55.975392796153145,34.975392796153145,26.975392796153145,23.975392796153145,83.97539279615314,73.97539279615314,25.975392796153145,57.975392796153145,95.97539279615314,9.975392796153146,34.975392796153145,98.97539279615314,47.975392796153145,87.97539279615314,92.97539279615314,95.97539279615314,31.975392796153145,82.97539279615314,22.975392796153145,88.97539279615314,74.97539279615314,93.97539279615314
Gene7,20.84155197289744,46.84155197289744,54.84155197289744,99.84155197289743,91.84155197289743,13.84155197289744,54.84155197289744,49.84155197289744,40.84155197289744,59.84155197289744,11.84155197289744,82.84155197289743,78.84155197289743,54.84155197289744,3.84155197289744,74.84155197289743,47.84155197289744,48.84155197289744,73.84155197289743,59.84155197289744,26.84155197289744,38.84155197289744,51.84155197289744,68.84155197289743,48.84155197289744,81.84155197289743,17.84155197289744,68.84155197289743,39.84155197289744,86.84155197289743,12.84155197289744,4.84155197289744,72.84155197289743,86.84155197289743,86.84155197289743,33.84155197289744,17.84155197289744,43.84155197289744,42.84155197289744,39.84155197289744,51.84155197289744,76.84155197289743,15.84155197289744,55.84155197289744,75.84155197289743,80.84155197289743,18.84155197289744,49.84155197289744,47.84155197289744,47.84155197289744,75.84155197289743,13.84155197289744,74.84155197289743,17.84155197289744,9.84155197289744,30.84155197289744,7.84155197289744,32.84155197289744,72.84155197289743,28.84155197289744,38.84155197289744,19.84155197289744,68.84155197289743,46.84155197289744,85.84155197289743,66.84155197289743,24.84155197289744,39.84155197289744,5.84155197289744,73.84155197289743,7.84155197289744,26.84155197289744,55.84155197289744,32.84155197289744,96.84155197289743,82.84155197289743,92.84155197289743,5.84155197289744,51.84155197289744,30.84155197289744,22.84155197289744,19.84155197289744,79.84155197289743,69.84155197289743,21.84155197289744,53.84155197289744,91.84155197289743,5.84155197289744,30.84155197289744,94.84155197289743,43.84155197289744,83.84155197289743,88.84155197289743,91.84155197289743,27.84155197289744,78.84155197289743,18.84155197289744,84.84155197289743,70.84155197289743,89.84155197289743
Gene8,21.050930241504595,47.050930241504595,55.050930241504595,100.05093024150459,92.05093024150459,14.050930241504595,55.050930241504595,50.050930241504595,41.050930241504595,60.050930241504595,12.050930241504595,83.05093024150459,79.05093024150459,55.050930241504595,4.050930241504594,75.05093024150459,48.050930241504595,49.050930241504595,74.05093024150459,60.050930241504595,27.050930241504595,39.050930241504595,52.050930241504595,69.05093024150459,49.050930241504595,82.05093024150459,18.050930241504595,69.05093024150459,40.050930241504595,87.05093024150459,13.050930241504595,5.050930241504594,73.05093024150459,87.05093024150459,87.05093024150459,34.050930241504595,18.050930241504595,44.050930241504595,43.050930241504595,40.050930241504595,52.050930241504595,77.05093024150459,16.050930241504595,56.050930241504595,76.05093024150459,81.05093024150459,19.050930241504595,50.050930241504595,48.050930241504595,48.050930241504595,76.05093024150459,14.050930241504595,75.05093024150459,18.050930241504595,10.050930241504595,31.050930241504595,8.050930241504595,33.050930241504595,73.05093024150459,29.050930241504595,39.050930241504595,20.050930241504595,69.05093024150459,47.050930241504595,86.05093024150459,67.05093024150459,25.050930241504595,40.050930241504595,6.050930241504594,74.05093024150459,8.050930241504595,27.050930241504595,56.050930241504595,33.050930241504595,97.05093024150459,83.05093024150459,93.05093024150459,6.050930241504594,52.050930241504595,31.050930241504595,23.050930241504595,20.050930241504595,80.05093024150459,70.05093024150459,22.050930241504595,54.050930241504595,92.05093024150459,6.050930241504594,31.050930241504595,95.05093024150459,44.050930241504595,84.05093024150459,89.05093024150459,92.05093024150459,28.050930241504595,79.05093024150459,19.050930241504595,85.05093024150459,71.05093024150459,90.05093024150459
Gene9,25.82723452541154,51.82723452541154,59.82723452541154,104.82723452541154,96.82723452541154,18.82723452541154,59.82723452541154,54.82723452541154,45.82723452541154,64.82723452541154,16.82723452541154,87.82723452541154,83.82723452541154,59.82723452541154,8.827234525411539,79.82723452541154,52.82723452541154,53.82723452541154,78.82723452541154,64.82723452541154,31.82723452541154,43.82723452541154,56.82723452541154,73.82723452541154,53.82723452541154,86.82723452541154,22.82723452541154,73.82723452541154,44.82723452541154,91.82723452541154,17.82723452541154,9.827234525411539,77.82723452541154,91.82723452541154,91.82723452541154,38.82723452541154,22.82723452541154,48.82723452541154,47.82723452541154,44.82723452541154,56.82723452541154,81.82723452541154,20.82723452541154,60.82723452541154,80.82723452541154,85.82723452541154,23.82723452541154,54.82723452541154,52.82723452541154,52.82723452541154,80.82723452541154,18.82723452541154,79.82723452541154,22.82723452541154,14.827234525411539,35.82723452541154,12.827234525411539,37.82723452541154,77.82723452541154,33.82723452541154,43.82723452541154,24.82723452541154,73.82723452541154,51.82723452541154,90.82723452541154,71.82723452541154,29.82723452541154,44.82723452541154,10.827234525411539,78.82723452541154,12.827234525411539,31.82723452541154,60.82723452541154,37.82723452541154,101.82723452541154,87.82723452541154,97.82723452541154,10.827234525411539,56.82723452541154,35.82723452541154,27.82723452541154,24.82723452541154,84.82723452541154,74.82723452541154,26.82723452541154,58.82723452541154,96.82723452541154,10.827234525411539,35.82723452541154,99.82723452541154,48.82723452541154,88.82723452541154,93.82723452541154,96.82723452541154,32.82723452541154,83.82723452541154,23.82723452541154,89.82723452541154,75.82723452541154,94.82723452541154
