	Cell0	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65	Cell66	Cell67	Cell68	Cell69	Cell70	Cell71	Cell72	Cell73	Cell74	Cell75	Cell76	Cell77	Cell78	Cell79	Cell80	Cell81	Cell82	Cell83	Cell84	Cell85	Cell86	Cell87	Cell88	Cell89	Cell90	Cell91	Cell92	Cell93	Cell94	Cell95	Cell96	Cell97	Cell98	Cell99
TF1	25.0	365.0	281.0	384.0	367.0	202.0	211.0	477.0	265.0	322.0	312.0	337.0	143.0	210.0	297.0	207.0	9.0	324.0	270.0	97.0	278.0	289.0	442.0	97.0	463.0	225.0	283.0	28.0	370.0	467.0	499.0	319.0	388.0	371.0	395.0	62.0	260.0	109.0	445.0	456.0	137.0	358.0	209.0	356.0	351.0	472.0	366.0	267.0	354.0	297.0	246.0	25.0	164.0	369.0	43.0	493.0	417.0	212.0	189.0	149.0	42.0	182.0	272.0	167.0	88.0	117.0	412.0	229.0	126.0	225.0	191.0	320.0	303.0	137.0	430.0	404.0	176.0	7.0	215.0	324.0	329.0	446.0	205.0	100.0	187.0	71.0	42.0	440.0	328.0	67.0	398.0	263.0	415.0	37.0	68.0	1.0	361.0	264.0	288.0	400.0
Gene1	53.852700599335726	350.48283312713727	331.95148747742877	350.2307323044531	313.0300753931821	214.1820089957468	277.7275266864573	425.45114437498023	278.13624276986184	350.80172431156785	376.5535098704831	373.67332732328344	182.88381028769555	173.9189500892515	223.00410349814504	166.22947361992328	148.6863722332888	245.02632034318526	309.5755883940602	199.91164910321697	271.9518076750879	244.19701684910484	389.9468112511404	108.75516654760624	483.88109532487954	189.47764505609916	359.9047963138281	141.5600861233154	302.7173376999152	353.6942301544941	519.8161864362489	267.81793162214484	350.53581399505094	286.3027002175017	415.8407904033587	167.27671989742694	299.7749733908501	190.92091658273995	458.1907029492255	354.07099875296825	145.82070882125714	391.0856660579883	209.10901530392243	387.65743568738935	312.77930614748226	460.6719637784559	360.17724317344016	309.76345824821306	301.8714060033682	264.6838798264557	277.9700868221306	137.81637496971103	263.82568608832764	343.04503030938844	104.22867004611007	389.373332809444	331.7555636330203	292.7066998568529	143.3719519606686	233.24213157422656	60.57455783160552	160.6654497345496	245.58468067568344	204.57663913902581	147.30034501137112	124.33432637077465	434.1522628450649	293.88452589461804	114.84708793143048	309.35797755953286	175.22128901878804	378.5888541450151	353.25148993182216	202.04236334253375	426.03716003967173	333.35652397549325	280.0401061757393	13.048208099645226	187.63920914218687	362.4692791771202	347.2961244242973	431.2356684342284	242.3111666632291	103.49220237121865	182.00650257521212	122.96465908127007	80.60121230257768	376.6771633626767	297.9116355062777	173.6495462854188	328.8223135781822	334.88263221104467	411.0759282962142	108.82088438536032	79.03811641709038	107.29467071341709	381.37685167665023	316.828443496384	229.84458167286425	377.1635579683324
Gene2	59.426897318034364	291.90459608086945	345.83151395532866	431.52566462823205	392.63518041864546	206.14782154351747	266.2318411632605	431.3060722133558	325.6962986662545	269.0924246703281	256.476091609104	277.81334154794627	129.806626544722	287.95655947353384	258.9826520512672	256.8911548568882	17.226051755461384	354.6117540842104	243.00281247242899	197.53111711071017	325.81938380408405	347.6597523131145	354.14263096280627	183.6728591369293	441.22216774100866	318.3251346473972	319.0946135641045	43.91776268572871	327.59172527908413	415.70420945307825	476.3051157170969	334.38272627673524	394.1246931476944	356.17823210558777	374.1347033500934	109.6218024868289	284.9732012562754	105.94918960348407	427.8795240452775	445.63713966593747	183.32956614812684	370.7022113600009	219.14284245420623	403.2390955724567	278.92091107226634	370.3514640791182	309.78470077437805	237.8539938785907	409.2185741793029	260.69805094776024	233.22386091955042	141.82972079081003	193.25287579283906	395.44195370384614	153.86871154357488	468.48076857390487	406.1826905751085	305.01314950025426	180.54732027848667	154.52559741544545	83.31820065590667	168.8772882523458	283.49202779142354	213.83423023130143	119.56963006790457	222.26450750170451	418.39975338620883	175.4498615164935	179.81044845252168	250.42977116940403	251.71083335266957	305.0743441450573	349.8922279275571	233.69020030980187	450.7133981960197	419.348805916936	228.47714681980827	129.69261943863748	246.19526367992165	380.80520313844045	344.99916943501063	344.6615425025357	272.2294823916037	154.18985949865214	213.58850107103325	147.59156999961976	132.21043114329166	478.34794934714307	382.81292542330857	82.27107780405181	446.232571705533	225.79256796084738	399.4032952422932	96.8681366292977	168.203702270608	12.149664099339557	301.766864284507	252.2823316622813	316.74965636983774	369.54018816061347
Gene3	157.07186158413793	418.54521241811756	337.85778604696804	381.14449728113584	297.34527771395614	193.74136806196287	196.6660395806307	459.61050238970677	340.1003356746003	270.9520789507363	368.01360174411855	390.72837865507984	186.25239905308513	299.68500160950435	325.1845480819751	291.9324506952369	31.383683337903832	260.1399070433	285.57526152783527	202.81407980248875	306.84990979345724	268.1470148135786	460.3507317362539	220.10613544436234	455.07673507960044	176.51800070649372	260.19775260705944	170.69460732260833	382.6432737962207	408.18641020628337	430.24456941738663	317.2366601370257	334.2058079669307	340.8623875479698	297.5941987103673	151.29252186964428	223.52355430958127	163.95594766310865	391.72484960759425	360.1177128286281	128.33189253584112	281.08292996728477	305.83964794088683	303.0355087790338	300.78699979730857	394.6642340919481	339.7601382374872	333.6503136086181	298.06343574391576	319.51769573557016	252.26466303380377	32.842415474178786	151.2103012863654	393.40403386926005	110.74828380694024	454.38848625000946	455.59930258841575	205.84302486143963	274.1134480595603	225.3422849058174	94.64086036411959	168.50007685391546	347.25643713275053	274.68045570141066	102.8672793428783	95.32620266188766	353.96784230041635	254.223304628066	207.63675045341793	198.159636422408	221.71218349500958	269.3285457239895	298.2101447537446	110.14263375245469	384.8319976986337	308.58483418509445	240.08895375875764	85.18124960860365	254.76339871419094	335.7083866630879	302.7766051583834	483.15411469576367	276.2828895785831	188.0038767237137	219.49108500907693	149.01086566453648	88.14577159575842	451.39719364571846	390.68258216973413	62.495918608075826	444.9600971271425	305.28703399649635	327.8202553713042	86.78079496519788	126.05907317416103	55.989883913218954	366.6124625123882	212.44138682049038	244.80001875919743	441.5524849989695
Gene4	44.231568900918404	315.07200128505326	345.16920833753863	323.18429999991946	366.9070838057532	261.1510222463936	210.80829809392478	375.9129992237938	286.82226681324306	272.40901260215446	239.76036528711575	319.7923388421832	249.8419502224164	283.11116372995514	245.01759738343725	244.22474313118812	89.85134678640682	299.1766193697495	233.1833169794601	184.24534215825526	228.02663531693602	347.1298544697887	468.6987197590213	185.24215404801217	368.3775225760714	290.76663465983296	292.609445639657	46.978186718400764	406.8133313227345	483.56634945999315	503.2844645211594	380.0521345901849	353.2160580539585	312.42830461125027	437.2318722634446	155.55410935424723	233.59537241525098	230.6753794186031	390.0423799581572	468.191466458452	248.87749674141614	303.918333333561	176.8931264539569	314.12248855964145	376.5925844659747	469.8437214677306	405.2491710348413	328.0205194155688	362.5541234046896	359.43608959001045	234.33807771487537	54.90107594962083	253.00707050697068	277.9008037881684	123.84882444645359	503.1100858834689	345.27777759147256	161.54557126152451	285.2212392245786	175.5220202426225	124.4000746637045	254.9407830891253	230.23917672633934	131.51695221851594	176.39167901292922	193.00313818564808	406.10452550613354	273.51379010183035	192.23038057266828	203.31953975072537	168.77621814751993	339.098642294231	288.67111167850396	222.4943689142654	400.0439682918876	388.16794952284044	216.6172382974448	124.7469884857015	242.3894632360154	358.0979733354731	304.0753284639719	358.86383072824236	163.12879095300022	85.45961495141363	215.88261970790631	66.48574458126683	49.79939842542275	370.30032848223607	318.7294693645526	174.20506076722955	422.28496456577335	321.18894975839106	427.8159395412395	58.13617387883256	60.39449808945241	48.100224495923534	390.30714158441896	278.04422274498745	217.99851638598375	304.1869698427046
Gene5	144.9195936084484	353.3655823961769	222.63242512929187	385.6313782847093	398.6456749843722	286.8897955541276	193.87620933546438	358.0358660720593	272.97158035068674	336.454227172034	306.8430366843944	277.929321866073	141.86285672454164	262.55907208597733	326.7848996423943	174.73020548093584	88.77664904170454	288.1868635080996	276.6656818850892	133.8846388181334	218.8855064129259	276.8845348577627	375.66619479411867	143.02794957848528	485.9071671096027	289.5045748540955	353.80362619923403	61.27196004201795	367.0765728222408	447.9121119327526	511.09981069004226	248.81965431935558	333.3527297950681	331.33154548869294	331.2924447910922	164.20816872282245	275.3293671571291	192.31027013849342	466.2302668851179	387.4097247791642	225.64668572953457	316.96715410308707	196.67373525330885	387.9001830292242	373.4390436140692	426.6503364970738	318.68679516152224	333.1460366351065	406.5815979508901	290.49346252772307	186.27724753743985	29.8324798339856	165.18999333172295	388.28137574693085	182.14067993021635	375.00571204280595	408.70233514585715	224.06836970664392	268.92021512842354	184.58087091225363	170.8784255212005	186.6823117325748	219.72986923512224	234.52567240344771	147.2796639090974	224.9257863441308	327.58999768470966	311.80313841436305	174.48491461090853	227.89745429745136	146.91822311359962	305.30800822540385	311.5042251438333	121.34301194308472	370.9144074811345	371.08133751115287	247.50635470799267	95.06598582697977	308.2899648366743	245.83724306042538	319.25491647034835	381.3862129724423	161.39483762077595	134.0303429229479	214.66351235164527	77.19420605272454	107.5780022638821	436.46057526296704	307.38154610815553	132.56397839738747	341.92395107588317	330.2719370473067	342.2980605402482	90.14032661447798	133.98775606092312	78.70344467438471	314.6096037723528	309.14594075962634	260.0546112048396	425.626760217981
Gene6	64.92212684429506	277.1216598947766	215.9322087647764	411.45827107145965	337.98478628622365	233.3741766770721	270.13215978523397	489.3290554432989	314.4481143586017	317.5295392768885	349.6726649558992	378.75551542947267	118.82403884473916	247.4956637493247	369.1292494055799	290.0558196309404	121.26528852814009	350.7763565232185	252.73499926795432	199.08244158703275	269.3210930940691	245.12956141837896	400.1500038111965	171.15579798793772	464.0836949229871	308.899860534906	358.9667276298125	69.09985103949478	407.9752376798483	459.9278728257669	458.5411950814647	300.549798937079	396.4792228089855	373.81840945050527	385.36309886095773	172.43599764825433	268.5749738348353	195.01885939298143	473.5354452657556	485.5413440357483	201.87481369455315	393.28175039138046	265.29363572249997	326.2722291539872	392.66212597570495	429.82504763297743	349.7644840663221	268.2022607092551	333.707405877994	250.57955537219	205.76246973783122	58.53772372219937	221.85828617303565	424.4537124595694	172.96064715604757	393.78619321986116	347.714821605163	182.88758638910662	188.5821949137714	220.7106721550802	173.52033653731166	249.5135118882161	292.7225045525264	147.3030633733391	194.91168679385407	152.93163021632665	349.4698900245769	186.34982142559815	102.49120567873605	249.76830453097836	165.3960034263152	308.4196624508488	315.6820217145399	159.55644916375803	470.4619984909818	340.0538427012113	249.01686982395032	18.800623476444528	261.80419345345996	386.7484526310587	250.65027758685045	369.804217817549	267.4934738202268	144.75709320922158	207.88326060842343	175.48071532520538	106.03208018635026	444.8575718744422	310.6869533789345	163.64879467383736	379.022321379035	290.50515420518263	414.9418596365878	52.79402442941711	88.1152820116561	6.772846912751245	291.83028981576206	271.5299336524083	303.9771715355848	439.3044572778607
Gene7	29.254300767260283	364.4966944660905	254.48962955087	374.29471459857984	281.8065755278234	173.4167722138493	180.65799537697262	416.192880441455	289.43449741154996	341.5604909391185	307.33209531313736	304.197391821203	216.2847651542946	167.3706551759717	370.23644046710615	189.99686100830158	84.35852153884751	247.8551029250845	232.13482944641507	119.98548638316949	350.22009839096523	226.63308435603443	442.8173848467774	216.31421870841515	350.27692244515424	197.91601342823452	274.66400177289177	89.47793467490683	362.0610830988027	449.3971630434958	401.6138618328669	290.04405289184706	314.9169924315339	381.8911803058627	360.6308397490246	70.38118962266158	195.2350619056994	160.93555168523886	426.54494909348284	408.03395610558215	188.08257325006508	350.03413948245304	306.32508974686107	273.8851669873331	392.5433976176509	451.31188353917037	414.4851694201179	294.89337653305626	314.2517919147088	322.0313380921328	305.1622808274007	84.3846064786325	125.72016638607755	281.70918893650634	79.81890197596331	420.4577321505065	323.32324541969746	179.6392051555019	244.0049905324578	113.95422200654394	123.20201593118846	279.45299494659	263.5851464112552	156.53507283319038	211.65305888966017	132.72349575252804	390.3410440288901	243.8378632312092	152.3847105546387	195.8164584315064	204.0301149601752	380.6030649684698	270.8139687790356	184.58464483358375	419.8573875427247	329.38865292090117	278.48048135557417	59.77791454588093	185.28582494173233	341.380443812134	284.66521989117615	356.0393332254273	166.4961964157501	174.20334142077974	287.7469765839035	74.32112004832221	98.4285011800571	400.26502071815196	362.3655407890759	88.80472874721744	401.24929547344937	286.34590130468507	328.567777043219	106.67752623895713	142.95947819907911	9.794128908251153	396.21644014548156	286.66444405947766	290.4160931041693	351.90508031507886
Gene8	32.67261166065957	279.10920489997034	242.21460760351997	330.62757487676924	413.88813542747585	205.01515720933799	170.4347489094625	383.86721501211616	278.83156982661694	278.5671374832944	315.61664447242686	377.66341749194663	126.15560605789639	183.39925288682818	313.703561287507	267.22663094168263	97.12346523901809	297.2958936219599	338.25713218343157	202.89185016785314	300.68203029509834	244.309551952981	476.94339563435136	203.3303652206985	399.6912160037178	314.9269257398727	235.52064419101538	120.0408656458166	305.08358469153933	406.009677721439	434.97875157306146	375.73905683028374	406.0488066735462	421.7958315247212	361.99683366529234	98.26162285695385	316.5517084864611	171.93563739267552	352.9930316224834	477.89944949741346	234.99013421275464	323.0530494864725	184.68060162473995	296.293773971501	381.32371769746857	382.58210603969576	410.6412286652585	264.2021992907799	338.55598405473955	230.30763962974754	277.5588165452896	96.56693625889521	150.98793759244785	318.99038836620065	101.49523999196217	408.37394823443617	444.14412102728375	299.7215571191131	224.31713151772695	181.36343128234714	169.98096142612624	233.6132163896172	249.64819930636725	177.81299714446305	133.51187318004634	120.18189363983917	385.26464886545443	269.86580963682127	165.47879446609358	250.78462261397766	249.97434550982692	325.6840748659124	324.23070515190125	209.24175928425348	330.591777633862	409.84433585088743	192.21878884257552	86.44188262235222	199.531909427882	354.75969014591703	358.08485065086717	342.17881679769835	236.23970675927	138.3046592851482	217.67357522418743	106.06254634629056	68.98363735085796	472.7657652969187	382.38212584236925	114.63119129186782	319.74576486845274	231.53626108848965	452.7790573405197	118.25540441450309	107.643885900394	17.252305693210722	277.4303801344042	270.7854898830702	251.70775822162008	346.93399199925113
Gene9	50.88701766269248	298.83402132370713	324.258067552789	410.1865445549338	329.4926689755994	182.19920071059053	193.27722865398258	371.27717962998514	284.8251313842974	348.7456116630573	332.519847763313	261.9353334538744	108.58672034465734	259.9810637113706	244.33615360906703	231.63621474625756	63.505829411074146	245.83356223963327	317.90848205764433	136.5863069477879	250.35270090216179	268.6380344028603	438.01177461499196	112.77208765306564	377.7762012631818	238.27571640579703	316.4085734015323	24.806000540794415	306.3581255468278	389.0460416432677	434.20202158266363	283.3605200492431	321.38046693886645	314.651222906807	343.5957429598075	158.7198169094537	257.76076016853267	165.88385563752075	339.7129106726445	438.59420299037157	197.29834727560745	345.57737759285396	236.06890224226174	298.3686439574718	386.2887383729923	484.6724369468237	414.75408208036714	313.43708839350575	266.6571090531831	367.427845060755	227.57546919662863	150.78263193386056	134.83881157021045	423.47116279066745	102.32474011313536	446.1970451622017	403.08733498014914	224.6059397294573	243.30215249878773	217.1949712870943	58.07591792936519	206.87680405128125	282.63986166777227	141.74325715280867	102.68909301460855	109.6363094362164	390.201216367272	186.88252201992026	206.00838492793304	257.7425993366787	159.93197737856715	341.7843039365872	325.5664979668502	149.61109820998584	413.9011085099491	367.2069634011266	224.7957603103651	63.54817355577979	198.208023125647	351.20761128217185	300.62577680635303	428.1941837274667	302.8418303554851	140.1145252483002	143.50502136130515	104.62805381852486	71.1007158078125	356.35454963704905	261.8419633870445	180.62268765332715	303.6078887962336	309.99277076231976	377.918519115702	83.52733759529585	60.37966677987769	62.27459824879576	399.62213558107806	276.37782063870674	323.46955322175677	423.8279208899708
